sample_id,timestamp,device,scenario,distance_m,position_id,blockage,rssi_dbm,notes
126,2026-05-31 15:46:47,iphone 17,wifi_physical_sanity,3.0,P3,blocked,-40.0,ssid=TP_Link_Router; rep=6
127,2026-05-31 15:46:48,iphone 17,wifi_physical_sanity,3.0,P3,blocked,-48.0,ssid=TP_Link_Router; rep=7
128,2026-05-31 15:46:52,iphone 17,wifi_physical_sanity,3.0,P3,blocked,-48.0,ssid=TP_Link_Router; rep=8
129,2026-05-31 15:46:54,iphone 17,wifi_physical_sanity,3.0,P3,blocked,-44.0,ssid=TP_Link_Router; rep=9
130,2026-05-31 15:46:58,iphone 17,wifi_physical_sanity,3.0,P3,blocked,-43.0,ssid=TP_Link_Router; rep=10
131,2026-05-31 15:47:13,iphone 17,wifi_physical_sanity,4.0,P4,blocked,-43.0,ssid=TP_Link_Router; rep=1
132,2026-05-31 15:47:17,iphone 17,wifi_physical_sanity,4.0,P4,blocked,-43.0,ssid=TP_Link_Router; rep=2
133,2026-05-31 15:47:28,iphone 17,wifi_physical_sanity,4.0,P4,blocked,-54.0,ssid=TP_Link_Router; rep=3
134,2026-05-31 15:47:30,iphone 17,wifi_physical_sanity,4.0,P4,blocked,-50.0,ssid=TP_Link_Router; rep=4
135,2026-05-31 15:47:33,iphone 17,wifi_physical_sanity,4.0,P4,blocked,-49.0,ssid=TP_Link_Router; rep=5
136,2026-05-31 15:47:36,iphone 17,wifi_physical_sanity,4.0,P4,blocked,-49.0,ssid=TP_Link_Router; rep=6
137,2026-05-31 15:47:40,iphone 17,wifi_physical_sanity,4.0,P4,blocked,-61.0,ssid=TP_Link_Router; rep=7
138,2026-05-31 15:47:41,iphone 17,wifi_physical_sanity,4.0,P4,blocked,-50.0,ssid=TP_Link_Router; rep=8
139,2026-05-31 15:47:43,iphone 17,wifi_physical_sanity,4.0,P4,blocked,-62.0,ssid=TP_Link_Router; rep=9
140,2026-05-31 15:47:46,iphone 17,wifi_physical_sanity,4.0,P4,blocked,-48.0,ssid=TP_Link_Router; rep=10
141,2026-05-31 15:48:08,iphone 17,wifi_physical_sanity,5.0,P5,blocked,-52.0,ssid=TP_Link_Router; rep=1
142,2026-05-31 15:48:11,iphone 17,wifi_physical_sanity,5.0,P5,blocked,-41.0,ssid=TP_Link_Router; rep=2
143,2026-05-31 15:48:16,iphone 17,wifi_physical_sanity,5.0,P5,blocked,-37.0,ssid=TP_Link_Router; rep=3
144,2026-05-31 15:48:18,iphone 17,wifi_physical_sanity,5.0,P5,blocked,-50.0,ssid=TP_Link_Router; rep=4
145,2026-05-31 15:48:20,iphone 17,wifi_physical_sanity,5.0,P5,blocked,-37.0,ssid=TP_Link_Router; rep=5
146,2026-05-31 15:48:24,iphone 17,wifi_physical_sanity,5.0,P5,blocked,-53.0,ssid=TP_Link_Router; rep=6
147,2026-05-31 15:48:29,iphone 17,wifi_physical_sanity,5.0,P5,blocked,-57.0,ssid=TP_Link_Router; rep=7
148,2026-05-31 15:48:34,iphone 17,wifi_physical_sanity,5.0,P5,blocked,-52.0,ssid=TP_Link_Router; rep=8
149,2026-05-31 15:48:38,iphone 17,wifi_physical_sanity,5.0,P5,blocked,-42.0,ssid=TP_Link_Router; rep=9
