sample_id,timestamp,device,scenario,distance_m,position_id,blockage,light_value,unit,notes
137,2026-05-31 16:54:45,iphone 17,light_physical_sanity,4.0,P4,blocked,12.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=7
138,2026-05-31 16:54:46,iphone 17,light_physical_sanity,4.0,P4,blocked,8.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=8
139,2026-05-31 16:54:49,iphone 17,light_physical_sanity,4.0,P4,blocked,9.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=9
140,2026-05-31 16:54:52,iphone 17,light_physical_sanity,4.0,P4,blocked,7.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=10
141,2026-05-31 16:54:56,iphone 17,light_physical_sanity,5.0,P5,blocked,6.3,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=1
142,2026-05-31 16:54:59,iphone 17,light_physical_sanity,5.0,P5,blocked,6.24,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=2
143,2026-05-31 16:55:02,iphone 17,light_physical_sanity,5.0,P5,blocked,5.36,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=3
144,2026-05-31 16:55:05,iphone 17,light_physical_sanity,5.0,P5,blocked,5.98,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=4
145,2026-05-31 16:55:08,iphone 17,light_physical_sanity,5.0,P5,blocked,5.36,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=5
146,2026-05-31 16:55:15,iphone 17,light_physical_sanity,5.0,P5,blocked,6.23,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=6
147,2026-05-31 16:55:17,iphone 17,light_physical_sanity,5.0,P5,blocked,6.74,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=7
148,2026-05-31 16:55:20,iphone 17,light_physical_sanity,5.0,P5,blocked,5.21,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=8
149,2026-05-31 16:55:23,iphone 17,light_physical_sanity,5.0,P5,blocked,5.74,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=9
150,2026-05-31 16:55:25,iphone 17,light_physical_sanity,5.0,P5,blocked,5.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=10
151,2026-05-31 16:55:30,iphone 17,light_physical_sanity,6.0,P6,blocked,6.3,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=1
152,2026-05-31 16:55:31,iphone 17,light_physical_sanity,6.0,P6,blocked,4.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=2
153,2026-05-31 16:55:33,iphone 17,light_physical_sanity,6.0,P6,blocked,4.32,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=3
154,2026-05-31 16:55:34,iphone 17,light_physical_sanity,6.0,P6,blocked,3.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=4
155,2026-05-31 16:55:36,iphone 17,light_physical_sanity,6.0,P6,blocked,3.98,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=5
156,2026-05-31 16:55:40,iphone 17,light_physical_sanity,6.0,P6,blocked,4.67,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=6
157,2026-05-31 16:55:43,iphone 17,light_physical_sanity,6.0,P6,blocked,4.59,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=7
158,2026-05-31 16:55:44,iphone 17,light_physical_sanity,6.0,P6,blocked,6.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=8
159,2026-05-31 16:55:46,iphone 17,light_physical_sanity,6.0,P6,blocked,3.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=9
160,2026-05-31 16:55:50,iphone 17,light_physical_sanity,6.0,P6,blocked,6.8,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=10
161,2026-05-31 16:55:53,iphone 17,light_physical_sanity,7.0,P7,blocked,4.3,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=1
162,2026-05-31 16:55:55,iphone 17,light_physical_sanity,7.0,P7,blocked,4.6,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=2
163,2026-05-31 16:55:57,iphone 17,light_physical_sanity,7.0,P7,blocked,4.87,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=3
164,2026-05-31 16:55:59,iphone 17,light_physical_sanity,7.0,P7,blocked,6.3,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=4
165,2026-05-31 16:56:01,iphone 17,light_physical_sanity,7.0,P7,blocked,5.3,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=5
166,2026-05-31 16:56:02,iphone 17,light_physical_sanity,7.0,P7,blocked,5.0,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=6
167,2026-05-31 16:56:04,iphone 17,light_physical_sanity,7.0,P7,blocked,8.9,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=7
168,2026-05-31 16:56:05,iphone 17,light_physical_sanity,7.0,P7,blocked,6.2,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=8
169,2026-05-31 16:56:08,iphone 17,light_physical_sanity,7.0,P7,blocked,4.36,lux_app_estimate,app=Light Meter LM-3000; source=LED Room Light; rep=9
