seed,scenario,method_family,method_label,mean_error_m,median_error_m,p90_error_m,zone_accuracy,failure_rate,trajectory_smoothness_m_per_step
103,s4_mixed_dynamic,dsp_static,static_fusion_ema,0.7751271552759184,0.5828514971299743,1.600611610241761,0.77,0.08,0.3685381956993794
104,s1_clean,dsp_static,static_fusion_raw,0.4439290434246052,0.392968903720244,0.733929548174379,0.95,0.0,0.4719992127409884
104,s1_clean,dsp_static,static_fusion_moving_average,0.6199434208082925,0.6089544949288839,1.0238852997059422,0.87,0.0,0.3466031161513612
104,s1_clean,dsp_static,static_fusion_median,0.6773681831400421,0.6695905444832945,1.144372629526503,0.8,0.0,0.334769046704353
104,s1_clean,dsp_static,static_fusion_ema,0.5802476928546724,0.5615773281081805,0.9934792461908282,0.9,0.0,0.3466031161513612
104,s2_wifi_degraded,dsp_static,static_fusion_raw,0.5104740090767603,0.392968903720244,0.6841837291248524,0.94,0.01,0.629990844819416
104,s2_wifi_degraded,dsp_static,static_fusion_moving_average,0.630515579351411,0.650813817019082,1.0504522126190792,0.86,0.0,0.326401095949341
104,s2_wifi_degraded,dsp_static,static_fusion_median,0.6644079566778762,0.6695905444832945,1.1312525054128053,0.82,0.0,0.3365021060503511
104,s2_wifi_degraded,dsp_static,static_fusion_ema,0.580829663461709,0.5546907070476299,0.9934792461908282,0.9,0.0,0.3323181306728451
104,s3_vlp_blocked,dsp_static,static_fusion_raw,0.9705243034658246,0.5053313303777734,2.878812927960542,0.75,0.12,1.2345653580590057
104,s3_vlp_blocked,dsp_static,static_fusion_moving_average,1.0137584576065222,0.7762959809068122,2.064937436824354,0.67,0.11,0.4030252013799158
104,s3_vlp_blocked,dsp_static,static_fusion_median,0.9760162016351068,0.7319019962310904,1.905656163298726,0.68,0.1,0.5878129828963429
104,s3_vlp_blocked,dsp_static,static_fusion_ema,0.9572498997163812,0.7244683648457917,2.059855606023384,0.71,0.11,0.6210634482246321
104,s4_mixed_dynamic,dsp_static,static_fusion_raw,0.8553146014498416,0.4473096722162952,2.015821835786465,0.82,0.1,1.0906494266716975
104,s4_mixed_dynamic,dsp_static,static_fusion_moving_average,0.7625171858301859,0.7155840581615995,1.2000694151230835,0.79,0.03,0.2953802089608008
104,s4_mixed_dynamic,dsp_static,static_fusion_median,0.7804384256051499,0.6722439816639881,1.2539392893840178,0.78,0.03,0.4600987522877227
104,s4_mixed_dynamic,dsp_static,static_fusion_ema,0.7306720973277807,0.6407851853423082,1.2000694151230835,0.81,0.03,0.4408180436847217
105,s1_clean,dsp_static,static_fusion_raw,0.4437896341909656,0.3535679952703964,0.7545867816943592,0.93,0.02,0.452382267211963
105,s1_clean,dsp_static,static_fusion_moving_average,0.6876826952016084,0.6446856188300419,1.1080178384952424,0.84,0.02,0.3817415875111498
105,s1_clean,dsp_static,static_fusion_median,0.6768205544739501,0.6321764811393699,1.108157038285213,0.84,0.02,0.393575656958158
105,s1_clean,dsp_static,static_fusion_ema,0.6312299646262544,0.6089210038999509,1.0390741136421933,0.89,0.01,0.396026572989666
105,s2_wifi_degraded,dsp_static,static_fusion_raw,0.4373248074117314,0.3535679952703964,0.7553605502779075,0.94,0.01,0.4297957219846924
105,s2_wifi_degraded,dsp_static,static_fusion_moving_average,0.6963193983435022,0.6446856188300419,1.1080178384952424,0.84,0.03,0.4001441573609143
105,s2_wifi_degraded,dsp_static,static_fusion_median,0.6700844259661697,0.6321764811393699,1.1227678463627484,0.83,0.01,0.3976932413294065
